1 [13654440, 13657680, 13660920, 13664160, 13667400, 33884840, 33894480, 33904120, 33913760, 33923400, 54115240, 54131280, 54147320, 54163360, 54179400, 74345640, 74368080, 74390520, 74412960, 74435400, 94576040, 94604880, 94633720, 94662560, 94691400]
10 [13800240, 13803480, 13806720, 13809960, 13813200, 34318640, 34328280, 34337920, 34347560, 34357200, 54837040, 54853080, 54869120, 54885160, 54901200, 75355440, 75377880, 75400320, 75422760, 75445200, 95873840, 95902680, 95931520, 95960360, 95989200]
100 [623495040, 623690280, 623885520, 624080760, 624276000, 643821440, 644023080, 644224720, 644426360, 644628000, 664147840, 664355880, 664563920, 664771960, 664980000, 684474240, 684688680, 684903120, 685117560, 685332000, 704800640, 705021480, 705242320, 705463160, 705684000]
101 [624471240, 624666480, 624861720, 625056960, 625252200, 644829640, 645031280, 645232920, 645434560, 645636200, 665188040, 665396080, 665604120, 665812160, 666020200, 685546440, 685760880, 685975320, 686189760, 686404200, 705904840, 706125680, 706346520, 706567360, 706788200]
102 [625447440, 625642680, 625837920, 626033160, 626228400, 645837840, 646039480, 646241120, 646442760, 646644400, 666228240, 666436280, 666644320, 666852360, 667060400, 686618640, 686833080, 687047520, 687261960, 687476400, 707009040, 707229880, 707450720, 707671560, 707892400]
103 [626423640, 626618880, 626814120, 627009360, 627204600, 646846040, 647047680, 647249320, 647450960, 647652600, 667268440, 667476480, 667684520, 667892560, 668100600, 687690840, 687905280, 688119720, 688334160, 688548600, 708113240, 708334080, 708554920, 708775760, 708996600]
104 [627399840, 627595080, 627790320, 627985560, 628180800, 647854240, 648055880, 648257520, 648459160, 648660800, 668308640, 668516680, 668724720, 668932760, 669140800, 688763040, 688977480, 689191920, 689406360, 689620800, 709217440, 709438280, 709659120, 709879960, 710100800]
105 [628376040, 628571280, 628766520, 628961760, 629157000, 648862440, 649064080, 649265720, 649467360, 649669000, 669348840, 669556880, 669764920, 669972960, 670181000, 689835240, 690049680, 690264120, 690478560, 690693000, 710321640, 710542480, 710763320, 710984160, 711205000]
106 [629352240, 629547480, 629742720, 629937960, 630133200, 649870640, 650072280, 650273920, 650475560, 650677200, 670389040, 670597080, 670805120, 671013160, 671221200, 690907440, 691121880, 691336320, 691550760, 691765200, 711425840, 711646680, 711867520, 712088360, 712309200]
107 [630328440, 630523680, 630718920, 630914160, 631109400, 650878840, 651080480, 651282120, 651483760, 651685400, 671429240, 671637280, 671845320, 672053360, 672261400, 691979640, 692194080, 692408520, 692622960, 692837400, 712530040, 712750880, 712971720, 713192560, 713413400]
108 [631304640, 631499880, 631695120, 631890360, 632085600, 651887040, 652088680, 652290320, 652491960, 652693600, 672469440, 672677480, 672885520, 673093560, 673301600, 693051840, 693266280, 693480720, 693695160, 693909600, 713634240, 713855080, 714075920, 714296760, 714517600]
109 [632280840, 632476080, 632671320, 632866560, 633061800, 652895240, 653096880, 653298520, 653500160, 653701800, 673509640, 673717680, 673925720, 674133760, 674341800, 694124040, 694338480, 694552920, 694767360, 694981800, 714738440, 714959280, 715180120, 715400960, 715621800]
11 [13816440, 13819680, 13822920, 13826160, 13829400, 34366840, 34376480, 34386120, 34395760, 34405400, 54917240, 54933280, 54949320, 54965360, 54981400, 75467640, 75490080, 75512520, 75534960, 75557400, 96018040, 96046880, 96075720, 96104560, 96133400]
110 [633257040, 633452280, 633647520, 633842760, 634038000, 653903440, 654105080, 654306720, 654508360, 654710000, 674549840, 674757880, 674965920, 675173960, 675382000, 695196240, 695410680, 695625120, 695839560, 696054000, 715842640, 716063480, 716284320, 716505160, 716726000]
111 [634233240, 634428480, 634623720, 634818960, 635014200, 654911640, 655113280, 655314920, 655516560, 655718200, 675590040, 675798080, 676006120, 676214160, 676422200, 696268440, 696482880, 696697320, 696911760, 697126200, 716946840, 717167680, 717388520, 717609360, 717830200]
